"Step","Conv-Plain-56Layers - gradients/layer3.0.conv1.weight"
"2437","{""values"":[1,1,0,0,0,0,1,1,0,1,1,4,5,9,6,8,15,18,41,37,43,82,83,128,184,260,402,561,720,945,1272,1614,1933,1994,1770,1594,1300,891,670,513,393,286,196,142,82,68,48,22,23,16,13,11,15,1,2,2,1,0,0,0,1,1,0,1],""_type"":""histogram"",""bins"":[-0.008843648247420788,-0.008580142559367232,-0.008316636871313676,-0.00805313118326012,-0.007789625495206565,-0.007526119807153009,-0.007262614119099453,-0.006999108431045897,-0.0067356027429923415,-0.006472097054938786,-0.00620859136688523,-0.005945085678831674,-0.005681579990778118,-0.005418074302724563,-0.005154568614671007,-0.004891062926617451,-0.004627557238563895,-0.0043640515505103394,-0.004100545862456784,-0.003837040174403228,-0.003573534486349672,-0.0033100287982961163,-0.0030465231102425605,-0.0027830174221890047,-0.002519511734135449,-0.002256006046081893,-0.0019925003580283374,-0.0017289946699747816,-0.0014654889819212258,-0.00120198329386767,-0.0009384776058141142,-0.0006749719177605584,-0.00041146622970700264,-0.00014796054165344685,0.00011554514640010893,0.0003790508344536647,0.0006425565225072205,0.0009060622105607763,0.001169567898614332,0.0014330735866678879,0.0016965792747214437,0.0019600849627749994,0.0022235906508285552,0.002487096338882111,0.002750602026935667,0.0030141077149892226,0.0032776134030427784,0.003541119091096334,0.00380462477914989,0.004068130467203446,0.0043316361552570015,0.004595141843310557,0.004858647531364113,0.005122153219417669,0.005385658907471225,0.0056491645955247805,0.005912670283578336,0.006176175971631892,0.006439681659685448,0.006703187347739004,0.006966693035792559,0.007230198723846115,0.007493704411899671,0.007757210099953227,0.008020715788006783]}"
"2447","{""values"":[1,1,0,0,0,2,0,1,1,3,5,9,11,8,18,27,23,40,40,72,72,107,138,231,307,435,603,808,1104,1437,1744,1893,1940,1734,1389,1142,829,592,458,335,231,191,138,91,58,40,22,27,19,14,12,11,6,0,4,3,2,0,0,1,0,1,0,1],""_type"":""histogram"",""bins"":[-0.009289314970374107,-0.00899896000919398,-0.008708605048013851,-0.008418250086833723,-0.008127895125653595,-0.007837540164473467,-0.007547185203293338,-0.00725683024211321,-0.006966475280933082,-0.006676120319752954,-0.006385765358572826,-0.006095410397392698,-0.0058050554362125695,-0.005514700475032441,-0.005224345513852313,-0.004933990552672185,-0.004643635591492057,-0.004353280630311929,-0.0040629256691318005,-0.0037725707079516724,-0.0034822157467715442,-0.003191860785591416,-0.002901505824411288,-0.0026111508632311597,-0.0023207959020510316,-0.0020304409408709034,-0.0017400859796907753,-0.0014497310185106471,-0.001159376057330519,-0.0008690210961503908,-0.0005786661349702626,-0.0002883111737901345,0.0000020437873899936676,0.0002923987485701218,0.00058275370975025,0.0008731086709303781,0.0011634636321105063,0.0014538185932906345,0.0017441735544707626,0.0020345285156508908,0.002324883476831019,0.002615238438011147,0.0029055933991912752,0.0031959483603714034,0.0034863033215515316,0.0037766582827316597,0.004067013243911788,0.004357368205091916,0.004647723166272044,0.004938078127452172,0.0052284330886323005,0.005518788049812429,0.005809143010992557,0.006099497972172685,0.006389852933352813,0.006680207894532941,0.0069705628557130694,0.007260917816893198,0.007551272778073326,0.007841627739253454,0.008131982700433582,0.00842233766161371,0.008712692622793838,0.009003047583973967,0.009293402545154095]}"
"2456","{""values"":[1,0,0,0,1,0,1,0,0,0,2,2,1,1,2,3,5,6,10,14,17,19,29,41,58,72,97,112,187,281,407,611,889,1208,1634,1986,2240,2201,1740,1305,920,694,503,369,263,148,127,77,54,28,24,5,12,8,4,4,1,2,3,1,1,0,0,1],""_type"":""histogram"",""bins"":[-0.011106275953352451,-0.0108038917533122,-0.01050150755327195,-0.010199123353231698,-0.009896739153191447,-0.009594354953151196,-0.009291970753110945,-0.008989586553070694,-0.008687202353030443,-0.008384818152990192,-0.008082433952949941,-0.00778004975290969,-0.007477665552869439,-0.007175281352829188,-0.006872897152788937,-0.006570512952748686,-0.006268128752708435,-0.005965744552668184,-0.005663360352627933,-0.005360976152587682,-0.005058591952547431,-0.00475620775250718,-0.004453823552466929,-0.004151439352426678,-0.003849055152386427,-0.003546670952346176,-0.003244286752305925,-0.002941902552265674,-0.002639518352225423,-0.002337134152185172,-0.002034749952144921,-0.0017323657521046698,-0.0014299815520644188,-0.0011275973520241678,-0.0008252131519839168,-0.0005228289519436657,-0.00022044475190341473,0.00008193944813683629,0.0003843236481770873,0.0006867078482173383,0.0009890920482575893,0.0012914762482978404,0.0015938604483380914,0.0018962446483783424,0.0021986288484185934,0.0025010130484588444,0.0028033972484990954,0.0031057814485393465,0.0034081656485795975,0.0037105498486198485,0.0040129340486600995,0.0043153182487003505,0.0046177024487406015,0.0049200866487808526,0.005222470848821104,0.005524855048861355,0.005827239248901606,0.006129623448941857,0.006432007648982108,0.006734391849022359,0.00703677604906261,0.007339160249102861,0.007641544449143112,0.007943928649183363,0.008246312849223614]}"
"2465","{""_type"":""histogram"",""values"":[1,0,0,1,1,0,0,2,1,4,3,5,6,5,13,20,23,36,52,62,99,116,216,258,346,501,688,866,1177,1455,1745,1841,1747,1634,1325,1051,811,639,486,330,242,186,125,84,50,48,39,20,18,21,8,8,10,4,0,0,0,1,0,0,1,0,0,1],""bins"":[-0.009372565895318985,-0.00907690123131033,-0.008781236567301676,-0.008485571903293021,-0.008189907239284366,-0.007894242575275712,-0.007598577911267057,-0.007302913247258402,-0.007007248583249748,-0.006711583919241093,-0.0064159192552324384,-0.006120254591223784,-0.005824589927215129,-0.0055289252632064745,-0.00523326059919782,-0.004937595935189165,-0.0046419312711805105,-0.004346266607171856,-0.004050601943163201,-0.0037549372791545466,-0.003459272615145892,-0.0031636079511372373,-0.0028679432871285826,-0.002572278623119928,-0.0022766139591112733,-0.0019809492951026186,-0.001685284631093964,-0.0013896199670853093,-0.0010939553030766547,-0.000798290639068,-0.0005026259750593454,-0.0002069613110506907,0.00008870335295796394,0.0003843680169666186,0.0006800326809752733,0.0009756973449839279,0.0012713620089925826,0.0015670266730012372,0.0018626913370098919,0.0021583560010185465,0.002454020665027201,0.002749685329035856,0.0030453499930445105,0.003341014657053165,0.00363667932106182,0.0039323439850704744,0.004228008649079129,0.004523673313087784,0.004819337977096438,0.005115002641105093,0.005410667305113748,0.005706331969122402,0.006001996633131057,0.006297661297139712,0.006593325961148366,0.006888990625157021,0.007184655289165676,0.00748031995317433,0.007775984617182985,0.00807164928119164,0.008367313945200294,0.008662978609208949,0.008958643273217604,0.009254307937226258,0.009549972601234913]}"
"2474","{""_type"":""histogram"",""values"":[3,2,2,1,2,3,5,5,9,7,9,19,20,31,33,57,56,91,109,120,180,230,305,372,477,586,700,931,1122,1351,1555,1636,1544,1391,1176,964,760,598,477,357,252,196,174,126,83,79,52,48,28,27,17,19,9,9,6,1,1,3,2,1,1,1,0,1],""bins"":[-0.007712509483098984,-0.007466367169399746,-0.007220224855700508,-0.00697408254200127,-0.006727940228302032,-0.006481797914602794,-0.006235655600903556,-0.005989513287204318,-0.00574337097350508,-0.005497228659805842,-0.005251086346106604,-0.005004944032407366,-0.004758801718708128,-0.00451265940500889,-0.004266517091309652,-0.004020374777610414,-0.0037742324639111757,-0.0035280901502119377,-0.0032819478365126997,-0.0030358055228134617,-0.0027896632091142237,-0.0025435208954149857,-0.0022973785817157477,-0.0020512362680165097,-0.0018050939543172717,-0.0015589516406180337,-0.0013128093269187957,-0.0010666670132195577,-0.0008205246995203197,-0.0005743823858210817,-0.0003282400721218437,-0.0000820977584226057,0.0001640445552766323,0.0004101868689758703,0.0006563291826751083,0.0009024714963743463,0.0011486138100735843,0.0013947561237728223,0.0016408984374720603,0.0018870407511712983,0.0021331830648705363,0.0023793253785697743,0.0026254676922690123,0.0028716100059682503,0.0031177523196674883,0.0033638946333667263,0.0036100369470659643,0.0038561792607652023,0.00410232157446444,0.004348463888163678,0.004594606201862916,0.004840748515562154,0.005086890829261392,0.00533303314296063,0.005579175456659868,0.005825317770359106,0.006071460084058344,0.006317602397757582,0.00656374471145682,0.006809887025156058,0.007056029338855296,0.007302171652554534,0.007548313966253772,0.00779445627995301,0.008040598593652248]}"
"2484","{""_type"":""histogram"",""values"":[1,0,1,0,0,2,0,1,0,3,5,4,6,8,17,19,27,44,60,96,120,171,239,331,412,594,791,1021,1257,1587,1747,1709,1666,1427,1200,959,760,575,459,306,246,184,140,79,47,42,21,16,12,5,6,6,1,0,0,0,0,0,0,0,1,0,0,1],""bins"":[-0.008683794178068638,-0.008407159519265406,-0.008130524860462174,-0.007853890201658942,-0.00757725554285571,-0.007300620884052478,-0.007023986225249246,-0.006747351566446014,-0.006470716907642782,-0.00619408224883955,-0.005917447590036318,-0.005640812931233086,-0.005364178272429854,-0.005087543613626622,-0.00481090895482339,-0.004534274296020158,-0.004257639637216926,-0.003981004978413694,-0.0037043703196104616,-0.0034277356608072296,-0.0031511010020039976,-0.0028744663432007656,-0.0025978316843975335,-0.0023211970255943015,-0.0020445623667910695,-0.0017679277079878375,-0.0014912930491846055,-0.0012146583903813735,-0.0009380237315781415,-0.0006613890727749094,-0.0003847544139716774,-0.00010811975516844541,0.0001685149036347866,0.0004451495624380186,0.0007217842212412506,0.0009984188800444826,0.0012750535388477147,0.0015516881976509467,0.0018283228564541787,0.0021049575152574107,0.0023815921740606427,0.0026582268328638747,0.0029348614916671067,0.0032114961504703388,0.0034881308092735708,0.003764765468076803,0.004041400126880035,0.004318034785683267,0.004594669444486499,0.004871304103289731,0.005147938762092963,0.005424573420896195,0.005701208079699427,0.005977842738502659,0.006254477397305891,0.006531112056109123,0.006807746714912355,0.007084381373715587,0.007361016032518819,0.007637650691322051,0.007914285350125283,0.008190920008928515,0.008467554667731747,0.008744189326534979,0.009020823985338211]}"
"2494","{""values"":[1,0,0,0,0,0,0,1,2,2,2,0,8,6,8,14,18,21,22,47,61,72,141,175,240,326,415,507,655,931,1186,1422,1678,1745,1707,1548,1286,1060,753,589,465,303,233,234,155,122,86,53,35,31,19,8,12,9,7,4,1,2,0,0,1,1,0,2],""_type"":""histogram"",""bins"":[-0.006524326279759407,-0.00632928243430797,-0.006134238588856533,-0.005939194743405096,-0.005744150897953659,-0.005549107052502222,-0.005354063207050785,-0.0051590193615993485,-0.0049639755161479115,-0.004768931670696475,-0.004573887825245038,-0.004378843979793601,-0.004183800134342164,-0.003988756288890727,-0.00379371244343929,-0.003598668597987853,-0.003403624752536416,-0.003208580907084979,-0.003013537061633542,-0.0028184932161821052,-0.0026234493707306683,-0.0024284055252792314,-0.0022333616798277944,-0.0020383178343763575,-0.0018432739889249206,-0.0016482301434734836,-0.0014531862980220467,-0.0012581424525706097,-0.0010630986071191728,-0.0008680547616677359,-0.0006730109162162989,-0.000477967070764862,-0.00028292322531342506,-0.00008787937986198813,0.00010716446558944881,0.00030220831104088575,0.0004972521564923227,0.0006922960019437596,0.0008873398473951966,0.0010823836928466335,0.0012774275382980704,0.0014724713837495074,0.0016675152292009443,0.0018625590746523812,0.002057602920103818,0.002252646765555255,0.002447690611006692,0.002642734456458129,0.002837778301909566,0.003032822147361003,0.00322786599281244,0.0034229098382638767,0.0036179536837153137,0.0038129975291667506,0.0040080413746181875,0.0042030852200696245,0.004398129065521061,0.004593172910972498,0.004788216756423935,0.004983260601875372,0.005178304447326809,0.005373348292778246,0.005568392138229683,0.00576343598368112,0.005958479829132557]}"
"2503","{""_type"":""histogram"",""values"":[1,0,0,0,0,1,2,0,2,0,4,8,6,10,6,6,22,18,24,38,43,48,71,90,133,162,250,300,406,563,668,877,1081,1363,1484,1671,1605,1509,1356,1027,853,688,510,397,289,221,187,110,77,62,40,38,31,22,11,9,9,7,5,6,2,1,0,2],""bins"":[-0.010793332010507584,-0.010494289468624629,-0.010195246926741675,-0.00989620438485872,-0.009597161842975765,-0.009298119301092811,-0.008999076759209856,-0.008700034217326902,-0.008400991675443947,-0.008101949133560993,-0.007802906591678038,-0.007503864049795084,-0.007204821507912129,-0.006905778966029175,-0.00660673642414622,-0.0063076938822632656,-0.006008651340380311,-0.0057096087984973565,-0.005410566256614402,-0.005111523714731447,-0.004812481172848493,-0.004513438630965538,-0.004214396089082584,-0.003915353547199629,-0.0036163110053166747,-0.00331726846343372,-0.0030182259215507656,-0.002719183379667811,-0.0024201408377848566,-0.002121098295901902,-0.0018220557540189475,-0.001523013212135993,-0.0012239706702530384,-0.0009249281283700839,-0.0006258855864871293,-0.0003268430446041748,-0.000027800502721220255,0.0002712420391617343,0.0005702845810446888,0.0008693271229276434,0.001168369664810598,0.0014674122066935524,0.001766454748576507,0.0020654972904594615,0.002364539832342416,0.0026635823742253706,0.002962624916108325,0.0032616674579912797,0.003560709999874234,0.0038597525417571887,0.004158795083640143,0.004457837625523098,0.004756880167406052,0.005055922709289007,0.005354965251171961,0.005654007793054916,0.0059530503349378705,0.006252092876820825,0.00655113541870378,0.006850177960586734,0.007149220502469689,0.007448263044352643,0.007747305586235598,0.008046348128118552,0.008345390670001507]}"
"2513","{""_type"":""histogram"",""values"":[1,0,0,0,2,1,4,2,4,9,7,10,17,26,32,43,44,53,113,140,196,226,357,482,585,766,898,1064,1227,1373,1553,1565,1490,1352,1112,887,701,557,410,287,233,153,114,93,62,48,35,26,16,18,8,2,6,10,2,4,2,1,2,0,0,0,0,1],""bins"":[-0.00659461785107851,-0.0063812011503614485,-0.006167784449644387,-0.005954367748927325,-0.005740951048210263,-0.0055275343474932015,-0.00531411764677614,-0.005100700946059078,-0.004887284245342016,-0.0046738675446249545,-0.004460450843907893,-0.004247034143190831,-0.004033617442473769,-0.0038202007417567074,-0.0036067840410396457,-0.003393367340322584,-0.003179950639605522,-0.0029665339388884604,-0.0027531172381713986,-0.002539700537454337,-0.002326283836737275,-0.0021128671360202134,-0.0018994504353031516,-0.0016860337345860898,-0.001472617033869028,-0.0012592003331519663,-0.0010457836324349046,-0.0008323669317178428,-0.0006189502310007811,-0.0004055335302837193,-0.00019211682956665754,0.000021299871150404215,0.00023471657186746597,0.00044813327258452773,0.0006615499733015895,0.0008749666740186512,0.001088383374735713,0.0013018000754527748,0.0015152167761698365,0.0017286334768868983,0.00194205017760396,0.002155466878321022,0.0023688835790380836,0.0025823002797551453,0.002795716980472207,0.003009133681189269,0.0032225503819063306,0.0034359670826233923,0.003649383783340454,0.003862800484057516,0.004076217184774578,0.004289633885491639,0.004503050586208701,0.004716467286925763,0.004929883987642825,0.005143300688359886,0.005356717389076948,0.00557013408979401,0.005783550790511072,0.0059969674912281334,0.006210384191945195,0.006423800892662257,0.006637217593379319,0.0068506342940963805,0.007064050994813442]}"
"2522","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,1,0,1,2,3,6,5,9,11,12,12,23,24,34,57,71,72,108,166,194,299,405,517,650,898,1164,1432,1601,1670,1678,1520,1300,1044,870,649,505,360,307,201,142,128,75,52,38,32,34,17,8,8,3,2,2,3,1,1,1,3],""bins"":[-0.009548881091177464,-0.009283408464398235,-0.009017935837619007,-0.008752463210839778,-0.00848699058406055,-0.008221517957281321,-0.007956045330502093,-0.007690572703722864,-0.007425100076943636,-0.0071596274501644075,-0.006894154823385179,-0.006628682196605951,-0.006363209569826722,-0.006097736943047494,-0.005832264316268265,-0.005566791689489037,-0.005301319062709808,-0.00503584643593058,-0.0047703738091513515,-0.004504901182372123,-0.0042394285555928946,-0.003973955928813666,-0.0037084833020344377,-0.003443010675255209,-0.0031775380484759808,-0.0029120654216967523,-0.002646592794917524,-0.0023811201681382954,-0.002115647541359067,-0.0018501749145798385,-0.00158470228780061,-0.0013192296610213816,-0.0010537570342421532,-0.0007882844074629247,-0.0005228117806836963,-0.0002573391539044678,0.000008133472874760628,0.0002736060996539891,0.0005390787264332175,0.000804551353212446,0.0010700239799916744,0.0013354966067709029,0.0016009692335501313,0.0018664418603293598,0.0021319144871085882,0.0023973871138878167,0.002662859740667045,0.0029283323674462736,0.003193804994225502,0.0034592776210047305,0.003724750247783959,0.003990222874563187,0.004255695501342416,0.004521168128121644,0.004786640754900873,0.005052113381680101,0.00531758600845933,0.005583058635238558,0.0058485312620177865,0.006114003888797015,0.006379476515576243,0.006644949142355472,0.0069104217691347,0.007175894395913929,0.007441367022693157]}"
"2531","{""_type"":""histogram"",""values"":[3,2,0,2,1,2,10,13,13,22,33,33,45,57,85,93,143,207,259,418,452,665,877,1069,1292,1484,1538,1680,1597,1455,1175,940,689,560,389,283,227,155,121,89,62,48,35,30,14,12,8,10,7,7,3,2,5,2,2,2,1,1,0,1,1,0,0,1],""bins"":[-0.006953882519155741,-0.0066999322807532735,-0.006445982042350806,-0.006192031803948339,-0.005938081565545872,-0.005684131327143405,-0.005430181088740937,-0.00517623085033847,-0.004922280611936003,-0.004668330373533536,-0.0044143801351310685,-0.004160429896728601,-0.003906479658326134,-0.003652529419923667,-0.0033985791815211996,-0.0031446289431187324,-0.002890678704716265,-0.002636728466313798,-0.0023827782279113308,-0.0021288279895088635,-0.0018748777511063963,-0.001620927512703929,-0.0013669772743014619,-0.0011130270358989947,-0.0008590767974965274,-0.0006051265590940602,-0.000351176320691593,-0.00009722608228912577,0.00015672415611334145,0.00041067439451580867,0.0006646246329182759,0.0009185748713207431,0.0011725251097232103,0.0014264753481256776,0.0016804255865281448,0.001934375824930612,0.0021883260633330792,0.0024422763017355464,0.0026962265401380137,0.002950176778540481,0.003204127016942948,0.0034580772553454153,0.0037120274937478825,0.00396597773215035,0.004219927970552817,0.004473878208955284,0.004727828447357751,0.004981778685760219,0.005235728924162686,0.005489679162565153,0.00574362940096762,0.0059975796393700875,0.006251529877772555,0.006505480116175022,0.006759430354577489,0.007013380592979956,0.007267330831382424,0.007521281069784891,0.007775231308187358,0.008029181546589825,0.008283131784992293,0.00853708202339476,0.008791032261797227,0.009044982500199694,0.009298932738602161]}"
"2540","{""values"":[1,1,0,1,0,0,2,3,3,4,4,11,12,10,26,27,40,48,75,108,124,192,229,286,422,623,767,974,1142,1392,1550,1616,1590,1482,1189,1017,811,653,524,348,296,225,146,127,84,63,62,35,28,19,11,12,5,1,2,4,2,0,1,1,0,0,0,1],""_type"":""histogram"",""bins"":[-0.008731180801987648,-0.008454557115328498,-0.008177933428669348,-0.007901309742010199,-0.007624686055351049,-0.007348062368691899,-0.007071438682032749,-0.006794814995373599,-0.006518191308714449,-0.0062415676220553,-0.00596494393539615,-0.005688320248737,-0.00541169656207785,-0.0051350728754187,-0.0048584491887595505,-0.004581825502100401,-0.004305201815441251,-0.004028578128782101,-0.003751954442122951,-0.0034753307554638013,-0.0031987070688046515,-0.0029220833821455017,-0.002645459695486352,-0.002368836008827202,-0.002092212322168052,-0.0018155886355089024,-0.0015389649488497525,-0.0012623412621906027,-0.000985717575531453,-0.0007090938888723031,-0.00043247020221315324,-0.00015584651555400342,0.00012077717110514641,0.00039740085776429623,0.0006740245444234461,0.0009506482310825959,0.0012272719177417457,0.0015038956044008955,0.0017805192910600454,0.002057142977719195,0.002333766664378345,0.002610390351037495,0.0028870140376966447,0.0031636377243557945,0.0034402614110149443,0.003716885097674094,0.003993508784333244,0.004270132470992394,0.004546756157651544,0.0048233798443106934,0.005100003530969843,0.005376627217628993,0.005653250904288143,0.005929874590947293,0.006206498277606443,0.006483121964265592,0.006759745650924742,0.007036369337583892,0.007312993024243042,0.007589616710902192,0.007866240397561342,0.008142864084220491,0.008419487770879641,0.008696111457538791,0.00897273514419794]}"
"2550","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,1,1,1,0,0,2,1,4,3,6,3,7,9,15,11,15,41,52,65,94,126,172,222,310,444,647,945,1250,1523,1888,1947,1995,1734,1327,1012,738,541,393,259,170,141,74,66,36,33,28,19,14,12,16,4,4,3,2,1,3,1],""bins"":[-0.008022821508347988,-0.007809412214555778,-0.007596002920763567,-0.007382593626971357,-0.007169184333179146,-0.0069557750393869355,-0.006742365745594725,-0.0065289564518025145,-0.006315547158010304,-0.0061021378642180935,-0.005888728570425883,-0.005675319276633672,-0.005461909982841462,-0.005248500689049251,-0.005035091395257041,-0.00482168210146483,-0.00460827280767262,-0.004394863513880409,-0.004181454220088199,-0.003968044926295988,-0.0037546356325037777,-0.0035412263387115672,-0.0033278170449193567,-0.003114407751127146,-0.0029009984573349357,-0.002687589163542725,-0.0024741798697505146,-0.002260770575958304,-0.0020473612821660936,-0.001833951988373883,-0.0016205426945816725,-0.001407133400789462,-0.0011937241069972515,-0.000980314813205041,-0.0007669055194128305,-0.00055349622562062,-0.00034008693182840943,-0.00012667763803619891,0.0000867316557560116,0.0003001409495482221,0.0005135502433404326,0.0007269595371326432,0.0009403688309248537,0.0011537781247170642,0.0013671874185092747,0.0015805967123014852,0.0017940060060936958,0.0020074152998859063,0.002220824593678117,0.0024342338874703273,0.002647643181262538,0.0028610524750547484,0.003074461768846959,0.0032878710626391694,0.00350128035643138,0.0037146896502235904,0.003928098944015801,0.0041415082378080115,0.004354917531600222,0.0045683268253924325,0.004781736119184643,0.0049951454129768535,0.005208554706769064,0.005421964000561275,0.005635373294353485]}"
"2559","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,6,6,7,17,21,22,41,44,64,95,129,183,225,379,532,737,953,1353,1531,1795,1987,1790,1615,1304,999,748,540,357,256,186,144,108,66,42,39,30,28,14,9,7,5,6,5],""bins"":[-0.011078791692852974,-0.0108127147614141,-0.010546637829975225,-0.01028056089853635,-0.010014483967097476,-0.009748407035658602,-0.009482330104219727,-0.009216253172780853,-0.008950176241341978,-0.008684099309903104,-0.00841802237846423,-0.008151945447025355,-0.00788586851558648,-0.007619791584147606,-0.007353714652708732,-0.007087637721269857,-0.006821560789830983,-0.006555483858392108,-0.006289406926953234,-0.006023329995514359,-0.005757253064075485,-0.00549117613263661,-0.005225099201197736,-0.0049590222697588615,-0.004692945338319987,-0.004426868406881113,-0.004160791475442238,-0.0038947145440033637,-0.0036286376125644892,-0.003362560681125615,-0.0030964837496867403,-0.002830406818247866,-0.0025643298868089914,-0.002298252955370117,-0.0020321760239312425,-0.001766099092492368,-0.0015000221610534936,-0.0012339452296146192,-0.0009678682981757447,-0.0007017913667368703,-0.0004357144352979958,-0.00016963750385912135,0.0000964394275797531,0.00036251635901862755,0.000628593290457502,0.0008946702218963765,0.001160747153335251,0.0014268240847741254,0.0016929010162129998,0.0019589779476518743,0.0022250548790907487,0.002491131810529623,0.0027572087419684976,0.003023285673407372,0.0032893626048462465,0.003555439536285121,0.0038215164677239954,0.00408759339916287,0.004353670330601744,0.004619747262040619,0.004885824193479493,0.005151901124918368,0.005417978056357242,0.005684054987796117,0.005950131919234991]}"
"2568","{""_type"":""histogram"",""values"":[1,1,0,0,0,0,0,0,2,0,3,3,4,11,9,13,11,30,30,43,71,98,148,179,227,328,471,573,704,918,1157,1366,1687,1788,1733,1579,1287,1002,739,565,436,339,217,181,134,95,69,49,41,19,16,18,16,7,4,1,3,4,0,0,0,0,0,2],""bins"":[-0.00642394507303834,-0.006233823027287144,-0.006043700981535949,-0.005853578935784753,-0.005663456890033558,-0.005473334844282363,-0.005283212798531167,-0.005093090752779972,-0.004902968707028776,-0.004712846661277581,-0.004522724615526386,-0.00433260256977519,-0.004142480524023995,-0.003952358478272799,-0.003762236432521604,-0.0035721143867704086,-0.003381992341019213,-0.003191870295268018,-0.0030017482495168224,-0.002811626203765627,-0.0026215041580144316,-0.002431382112263236,-0.002241260066512041,-0.0020511380207608454,-0.00186101597500965,-0.0016708939292584546,-0.0014807718835072592,-0.0012906498377560638,-0.0011005277920048684,-0.000910405746253673,-0.0007202837005024776,-0.0005301616547512822,-0.0003400396090000868,-0.00014991756324889138,0.00004020448250230402,0.00023032652825349942,0.0004204485740046948,0.0006105706197558902,0.0008006926655070856,0.000990814711258281,0.0011809367570094764,0.0013710588027606718,0.0015611808485118672,0.0017513028942630626,0.001941424940014258,0.0021315469857654534,0.002321669031516649,0.0025117910772678442,0.0027019131230190396,0.002892035168770235,0.0030821572145214304,0.003272279260272626,0.0034624013060238212,0.0036525233517750166,0.003842645397526212,0.0040327674432774074,0.004222889489028603,0.004413011534779798,0.004603133580530994,0.004793255626282189,0.0049833776720333844,0.00517349971778458,0.005363621763535775,0.005553743809286971,0.005743865855038166]}"
"2578","{""values"":[1,1,0,1,4,3,1,5,3,6,7,10,12,19,25,30,42,64,88,117,194,265,367,511,662,926,1106,1365,1606,1786,1836,1624,1387,1169,863,641,484,333,229,169,116,89,75,46,46,21,18,8,12,12,6,4,5,4,0,0,3,1,0,3,0,0,0,1],""_type"":""histogram"",""bins"":[-0.005301099270582199,-0.00512500020704465,-0.004948901143507101,-0.004772802079969551,-0.004596703016432002,-0.004420603952894453,-0.004244504889356904,-0.0040684058258193545,-0.0038923067622818053,-0.003716207698744256,-0.003540108635206707,-0.0033640095716691576,-0.0031879105081316084,-0.003011811444594059,-0.00283571238105651,-0.0026596133175189607,-0.0024835142539814115,-0.0023074151904438622,-0.002131316126906313,-0.0019552170633687638,-0.0017791179998312145,-0.0016030189362936653,-0.001426919872756116,-0.0012508208092185669,-0.0010747217456810176,-0.0008986226821434684,-0.0007225236186059192,-0.00054642455506837,-0.00037032549153082073,-0.0001942264279932715,-0.000018127364455722272,0.00015797169908182696,0.0003340707626193762,0.0005101698261569254,0.0006862688896944746,0.0008623679532320239,0.001038467016769573,0.0012145660803071223,0.0013906651438446715,0.0015667642073822208,0.00174286327091977,0.0019189623344573192,0.0020950613979948685,0.0022711604615324177,0.002447259525069967,0.002623358588607516,0.0027994576521450654,0.0029755567156826146,0.003151655779220164,0.003327754842757713,0.0035038539062952623,0.0036799529698328115,0.0038560520333703607,0.00403215109690791,0.004208250160445459,0.004384349223983008,0.004560448287520558,0.004736547351058107,0.004912646414595656,0.005088745478133205,0.0052648445416707546,0.005440943605208304,0.005617042668745853,0.005793141732283402,0.0059692407958209515]}"
"2587","{""_type"":""histogram"",""values"":[1,0,0,0,1,1,0,1,0,4,1,1,2,4,6,2,6,18,13,20,30,37,44,79,121,160,217,321,424,538,685,911,1218,1517,1733,1841,1760,1537,1286,974,760,521,433,322,229,155,109,96,77,62,51,26,21,15,12,7,8,5,3,1,1,1,1,2],""bins"":[-0.007581435143947601,-0.0073690607023308985,-0.007156686260714196,-0.006944311819097493,-0.00673193737748079,-0.006519562935864087,-0.006307188494247384,-0.0060948140526306815,-0.005882439611013979,-0.005670065169397276,-0.005457690727780573,-0.00524531628616387,-0.005032941844547167,-0.004820567402930465,-0.004608192961313762,-0.004395818519697059,-0.004183444078080356,-0.003971069636463653,-0.0037586951948469505,-0.0035463207532302476,-0.003333946311613545,-0.003121571869996842,-0.002909197428380139,-0.0026968229867634363,-0.0024844485451467335,-0.0022720741035300307,-0.002059699661913328,-0.001847325220296625,-0.0016349507786799222,-0.0014225763370632194,-0.0012102018954465166,-0.0009978274538298137,-0.0007854530122131109,-0.0005730785705964081,-0.0003607041289797053,-0.00014832968736300245,0.00006404475425370038,0.0002764191958704032,0.000488793637487106,0.0007011680791038089,0.0009135425207205117,0.0011259169623372145,0.0013382914039539173,0.0015506658455706201,0.001763040287187323,0.001975414728804026,0.0021877891704207286,0.0024001636120374314,0.0026125380536541343,0.002824912495270837,0.00303728693688754,0.0032496613785042427,0.0034620358201209456,0.0036744102617376484,0.0038867847033543512,0.004099159144971054,0.004311533586587757,0.00452390802820446,0.0047362824698211625,0.004948656911437865,0.005161031353054568,0.005373405794671271,0.005585780236287974,0.005798154677904677,0.0060105291195213795]}"
